effective_date,added_ticker,removed_ticker,membership_evidence,membership_source_url,notes
2022-12-22,STLD,ABMD,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20221219-1460299/1460299_5abmd.pdf,S&P DJI announcement; Steel Dynamics replaced Abiomed in S&P 500.
2023-01-04,GEHC,VNO,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20221228-1460542/1460542_ge5spingehc.pdf,S&P DJI announcement; GE HealthCare Technologies replaced Vornado Realty Trust in S&P 500.
2023-03-15,PODD,SIVB,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20230310-1461992/1461992_sivb-5.pdf,S&P DJI announcement; Insulet replaced SVB Financial Group in S&P 500.
2023-03-15,BG,SBNY,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20230313-1463166/1463166_5-sbny.pdf,S&P DJI announcement; Bunge replaced Signature Bank in S&P 500.
2023-03-20,FICO,LUMN,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20230303-1461866/1461866_shufflemarch2023.pdf,S&P DJI March 2023 quarterly rebalance; Fair Isaac replaced Lumen Technologies in S&P 500.
2023-05-04,AXON,FRC,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20230501-1463787/1463787_frc5.pdf,S&P DJI announcement; Axon Enterprise replaced First Republic Bank in S&P 500.
2023-06-20,PANW,DISH,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20230602-1464356/1464356_shufjun23.pdf,S&P DJI June 2023 quarterly rebalance; Palo Alto Networks replaced DISH Network in S&P 500.
2023-08-25,KVUE,AAP,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20230821-1465675/1465675_5jnj6.pdf,S&P DJI announcement; Kenvue replaced Advance Auto Parts in S&P 500.
2023-09-18,BX,LNC,verified,https://press.spglobal.com/2023-09-01-Blackstone-and-Airbnb-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,S&P DJI September 2023 quarterly rebalance; Blackstone replaced Lincoln National in S&P 500.
2023-09-18,ABNB,NWL,verified,https://press.spglobal.com/2023-09-01-Blackstone-and-Airbnb-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,S&P DJI September 2023 quarterly rebalance; Airbnb replaced Newell Brands in S&P 500.
2023-10-02,VLTO,DXC,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20230928-1466640/1466640_554-k-dhr-armk.pdf,S&P DJI announcement; Veralto was added to S&P 500 and DXC Technologies was removed in the associated change.
2023-10-18,LULU,ATVI,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20231013-1466909/1466909_5atvi.pdf,S&P DJI announcement; Lululemon Athletica replaced Activision Blizzard in S&P 500.
2023-10-18,HUBB,OGN,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20231013-1466909/1466909_5atvi.pdf,S&P DJI announcement; Hubbell replaced Organon & Co in S&P 500.
2023-12-18,UBER,SEE,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20231201-1467851/1467851_dec2023shuf.pdf,S&P DJI December 2023 quarterly rebalance; Uber Technologies replaced Sealed Air in S&P 500.
2023-12-18,JBL,ALK,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20231201-1467851/1467851_dec2023shuf.pdf,S&P DJI December 2023 quarterly rebalance; Jabil replaced Alaska Air Group in S&P 500.
2023-12-18,BLDR,SEDG,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20231201-1467851/1467851_dec2023shuf.pdf,S&P DJI December 2023 quarterly rebalance; Builders FirstSource replaced SolarEdge Technologies in S&P 500.
2024-03-18,SMCI,WHR,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20240301-1470916/1470916_mar2024shuf.pdf,S&P DJI March 2024 quarterly rebalance; Super Micro Computer replaced Whirlpool in S&P 500.
2024-03-18,DECK,ZION,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20240301-1470916/1470916_mar2024shuf.pdf,S&P DJI March 2024 quarterly rebalance; Deckers Outdoor replaced Zions Bancorporation in S&P 500.
2024-04-01,SOLV,VFC,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20240327-1471355/1471355_5gemmm.pdf,S&P DJI announcement; Solventum replaced V.F. Corp in S&P 500.
2024-04-02,GEV,XRAY,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20240327-1471355/1471355_5gemmm.pdf,S&P DJI announcement; GE Vernova replaced Dentsply Sirona in S&P 500.
2024-05-08,VST,PXD,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20240503-1472096/1472096_5pxd.pdf,S&P DJI announcement; Vistra replaced Pioneer Natural Resources in S&P 500.
2024-06-24,KKR,RHI,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20240607-1472747/1472747_finaljuneshuffle546.pdf,S&P DJI June 2024 quarterly rebalance; KKR replaced Robert Half in S&P 500.
2024-06-24,CRWD,CMA,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20240607-1472747/1472747_finaljuneshuffle546.pdf,S&P DJI June 2024 quarterly rebalance; CrowdStrike Holdings replaced Comerica in S&P 500.
2024-06-24,GDDY,ILMN,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20240607-1472747/1472747_finaljuneshuffle546.pdf,S&P DJI June 2024 quarterly rebalance; GoDaddy replaced Illumina in S&P 500.
2024-09-23,PLTR,AAL,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20240906-1474143/1474143_septembershuffle546.pdf,S&P DJI September 2024 quarterly rebalance; Palantir Technologies replaced American Airlines Group in S&P 500.
2024-09-23,DELL,ETSY,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20240906-1474143/1474143_septembershuffle546.pdf,S&P DJI September 2024 quarterly rebalance; Dell Technologies replaced Etsy in S&P 500.
2024-09-23,ERIE,BIO,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20240906-1474143/1474143_septembershuffle546.pdf,S&P DJI September 2024 quarterly rebalance; Erie Indemnity replaced Bio-Rad Laboratories in S&P 500.
2024-09-30,AMTM,BBWI,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20240924-1474558/1474558_jacobs56.pdf,S&P DJI announcement; Amentum replaced Bath & Body Works in S&P 500.
2024-11-26,TPL,MRO,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20241121-1475569/1475569_5-mro.pdf,S&P DJI announcement; Texas Pacific Land replaced Marathon Oil in S&P 500.
2024-12-23,APO,QRVO,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20241206-1475790/1475790_dec2024apowday.pdf,S&P DJI December 2024 quarterly rebalance; Apollo Global Management replaced Qorvo in S&P 500.
2024-12-23,WDAY,AMTM,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20241206-1475790/1475790_dec2024apowday.pdf,S&P DJI December 2024 quarterly rebalance; Workday replaced Amentum Holdings in S&P 500.
2024-12-23,LII,CTLT,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20241218-1475819/1475819_ctlt5.pdf,S&P DJI announcement; Lennox International replaced Catalent in S&P 500.
2025-03-24,DASH,BWA,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20250307-1477251/1477251_march2025rebalance1500.pdf,S&P DJI March 2025 quarterly rebalance; DoorDash replaced BorgWarner in S&P 500.
2025-03-24,TKO,TFX,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20250307-1477251/1477251_march2025rebalance1500.pdf,S&P DJI March 2025 quarterly rebalance; TKO Group Holdings replaced Teleflex in S&P 500.
2025-03-24,WSM,CE,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20250307-1477251/1477251_march2025rebalance1500.pdf,S&P DJI March 2025 quarterly rebalance; Williams-Sonoma replaced Celanese in S&P 500.
2025-03-24,EXE,FMC,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20250307-1477251/1477251_march2025rebalance1500.pdf,S&P DJI March 2025 quarterly rebalance; Expand Energy replaced FMC in S&P 500.
2025-05-19,COIN,DFS,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20250512-1478052/1478052_dfs5.pdf,S&P DJI announcement; Coinbase Global replaced Discover Financial Services in S&P 500.
2025-07-09,DDOG,JNPR,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20250702-1478699/1478699_jnpr5.pdf,S&P DJI announcement; Datadog replaced Juniper Networks in S&P 500.
2025-07-18,TTD,ANSS,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20250714-1478894/1478894_5-anss.pdf,S&P DJI announcement; The Trade Desk replaced ANSYS in S&P 500.
2025-07-23,XYZ,HES,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20250718-1478910/1478910_hes5.pdf,S&P DJI announcement; Block replaced Hess in S&P 500.
2025-08-28,IBKR,WBA,verified,https://press.spglobal.com/2025-08-25-Interactive-Brokers-Group-Set-to-Join-S-P-500%2C-Talen-Energy-to-Join-S-P-MidCap-400-and-Kinetik-Holdings-to-Join-S-P-SmallCap-600,S&P DJI announcement; Interactive Brokers Group replaced Walgreens Boots Alliance in S&P 500.
2025-09-22,APP,MKTX,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20250905-1479730/1479730_sept2025-1500rebalance.pdf,S&P DJI September 2025 quarterly rebalance; AppLovin replaced MarketAxess Holdings in S&P 500.
2025-09-22,HOOD,CZR,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20250905-1479730/1479730_sept2025-1500rebalance.pdf,S&P DJI September 2025 quarterly rebalance; Robinhood Markets replaced Caesars Entertainment in S&P 500.
2025-09-22,EME,ENPH,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20250905-1479730/1479730_sept2025-1500rebalance.pdf,S&P DJI September 2025 quarterly rebalance; Emcor Group replaced Enphase Energy in S&P 500.
2025-10-30,SOLS,KMX,verified,https://press.spglobal.com/2025-10-27-Solstice-Advance-Materials-and-Qnity-Electronics-Set-to-Join-S-P-500-Others-to-Join-S-P-SmallCap-600,S&P DJI announcement; Solstice Advanced Materials replaced CarMax in S&P 500.
2025-11-03,Q,EMN,verified,https://press.spglobal.com/2025-10-27-Solstice-Advance-Materials-and-Qnity-Electronics-Set-to-Join-S-P-500-Others-to-Join-S-P-SmallCap-600,S&P DJI announcement; Qnity Electronics replaced Eastman Chemical in S&P 500.
2025-11-28,SNDK,IPG,verified,https://press.spglobal.com/2025-11-24-Sandisk-Set-to-Join-S-P-500-Upwork%2C-First-Interstate-BancSystem%2C-PTC-Therapeutics-to-Join-S-P-SmallCap-600,S&P DJI announcement; Sandisk replaced Interpublic Group in S&P 500.
2025-12-11,ARES,K,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20251208-1481001/1481001_56-k-hsii-vtle.pdf,S&P DJI announcement; Ares Management replaced Kellanova in S&P 500.
2025-12-22,CRH,LKQ,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20251205-1480992/1480992_december2025rebalance.pdf,S&P DJI December 2025 quarterly rebalance; CRH replaced LKQ in S&P 500.
2025-12-22,CVNA,SOLS,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20251205-1480992/1480992_december2025rebalance.pdf,S&P DJI December 2025 quarterly rebalance; Carvana replaced Solstice Advanced Materials in S&P 500.
2025-12-22,FIX,MHK,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20251205-1480992/1480992_december2025rebalance.pdf,S&P DJI December 2025 quarterly rebalance; Comfort Systems USA replaced Mohawk Industries in S&P 500.
2026-02-09,CIEN,DAY,verified,https://press.spglobal.com/2026-02-04-Ciena-Set-to-Join-S-P-500-Arrowhead-Pharmaceuticals-to-Join-S-P-MidCap-400-ADT-and-OneSpaWorld-Holdings-to-Join-S-P-SmallCap-600,S&P DJI announcement; Ciena replaced Dayforce in S&P 500.
2026-03-23,VRT,MTCH,verified,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,S&P DJI March 2026 quarterly rebalance; Vertiv Holdings replaced Match Group in S&P 500.
2026-03-23,LITE,MOH,verified,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,S&P DJI March 2026 quarterly rebalance; Lumentum Holdings replaced Molina Healthcare in S&P 500.
2026-03-23,COHR,LW,verified,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,S&P DJI March 2026 quarterly rebalance; Coherent replaced Lamb Weston Holdings in S&P 500.
2026-03-23,SATS,PAYC,verified,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,S&P DJI March 2026 quarterly rebalance; EchoStar replaced Paycom Software in S&P 500.
2026-04-09,CASY,HOLX,verified,https://press.spglobal.com/2026-04-06-Caseys-General-Stores-Set-to-Join-S-P-500-DigitalOcean-Holdings-to-Join-S-P-MidCap-400-Broadstone-Net-Lease-to-Join-S-P-SmallCap-600,S&P DJI announcement; Caseys General Stores replaced Hologic in S&P 500.
2026-05-07,VEEV,CTRA,verified,https://press.spglobal.com/2026-04-30-Veeva-Systems-Set-to-Join-S-P-500,S&P DJI announcement; Veeva Systems replaced Coterra Energy in S&P 500.
